source,detector,type,cond,beta
1,1,hbo,open_agreeable,0.033539336512551
1,1,hbo,open_neutral,0.063529739043137
1,1,hbo,choice_agreeable,0.0388212445393318
1,1,hbo,choice_neutral,-0.028248039444737
1,1,hbr,open_agreeable,0.0700254765236522
1,1,hbr,open_neutral,0.070132752205998
1,1,hbr,choice_agreeable,0.0738015517791104
1,1,hbr,choice_neutral,-0.0163504149733482
1,2,hbo,open_agreeable,-0.0162753974941424
1,2,hbo,open_neutral,-0.0910232794603
1,2,hbo,choice_agreeable,0.024419249613153
1,2,hbo,choice_neutral,-0.00306485415633519
1,2,hbr,open_agreeable,-0.0551287934226274
1,2,hbr,open_neutral,0.00291499919967916
1,2,hbr,choice_agreeable,0.0551410869523849
1,2,hbr,choice_neutral,0.0263508137406437
2,1,hbo,open_agreeable,-0.00807299422704963
2,1,hbo,open_neutral,0.0197338078258866
2,1,hbo,choice_agreeable,-0.0472017407700905
2,1,hbo,choice_neutral,-0.00647018328392525
2,1,hbr,open_agreeable,0.0569523794646654
2,1,hbr,open_neutral,0.0058828334931062
2,1,hbr,choice_agreeable,-0.00469082332711825
2,1,hbr,choice_neutral,-0.0421428972123881
2,3,hbo,open_agreeable,0.0247584327376558
2,3,hbo,open_neutral,0.0921175203604222
2,3,hbo,choice_agreeable,-0.0471207100689144
2,3,hbo,choice_neutral,-0.0530218066171275
2,3,hbr,open_agreeable,0.0550186995417692
2,3,hbr,open_neutral,0.0324739458269234
2,3,hbr,choice_agreeable,-0.0373481452886463
2,3,hbr,choice_neutral,-0.0704973814845024
3,1,hbo,open_agreeable,-0.006901544279263
3,1,hbo,open_neutral,-0.00515603724311673
3,1,hbo,choice_agreeable,0.0129224433407953
3,1,hbo,choice_neutral,0.00854140372599056
3,1,hbr,open_agreeable,-0.0021090276956233
3,1,hbr,open_neutral,-0.00137130789173455
3,1,hbr,choice_agreeable,0.0409091845306862
3,1,hbr,choice_neutral,0.00147780228824129
3,3,hbo,open_agreeable,-0.0813673518316951
3,3,hbo,open_neutral,0.0805335760933286
3,3,hbo,choice_agreeable,-0.030911301927316
3,3,hbo,choice_neutral,-0.148300164500254
3,3,hbr,open_agreeable,-0.0496090854450699
3,3,hbr,open_neutral,0.0934136566140872
3,3,hbr,choice_agreeable,-0.0111128771417566
3,3,hbr,choice_neutral,-0.0430823627381143
3,4,hbo,open_agreeable,0.021400612376507
3,4,hbo,open_neutral,-0.0140692654642735
3,4,hbo,choice_agreeable,-0.00224000975604269
3,4,hbo,choice_neutral,-0.0537195219924638
3,4,hbr,open_agreeable,0.0524679987569042
3,4,hbr,open_neutral,-0.0119659161990886
3,4,hbr,choice_agreeable,-0.0472569612961135
3,4,hbr,choice_neutral,0.0093612309999399
4,2,hbo,open_agreeable,0.04154278796121
4,2,hbo,open_neutral,0.0152210275752844
4,2,hbo,choice_agreeable,0.034196996788018
4,2,hbo,choice_neutral,0.0284006851284195
4,2,hbr,open_agreeable,0.0244862404658087
4,2,hbr,open_neutral,-0.0163065723722124
4,2,hbr,choice_agreeable,-0.00402365532489204
4,2,hbr,choice_neutral,0.0195373443631864
4,4,hbo,open_agreeable,0.0292160197175617
4,4,hbo,open_neutral,0.00359411333137737
4,4,hbo,choice_agreeable,-0.0601159484499568
4,4,hbo,choice_neutral,-0.0289488048112458
4,4,hbr,open_agreeable,0.00295733292589611
4,4,hbr,open_neutral,-0.00537860689669071
4,4,hbr,choice_agreeable,-0.0149086450623967
4,4,hbr,choice_neutral,-0.0310144480184791
4,5,hbo,open_agreeable,0.0112984476349966
4,5,hbo,open_neutral,0.0165492005610596
4,5,hbo,choice_agreeable,0.0212904328627904
4,5,hbo,choice_neutral,0.0256720430849049
4,5,hbr,open_agreeable,0.0230001306083968
4,5,hbr,open_neutral,0.0116454657555786
4,5,hbr,choice_agreeable,0.0121288703093673
4,5,hbr,choice_neutral,0.0184363131452069
5,3,hbo,open_agreeable,-0.0518977439182481
5,3,hbo,open_neutral,-0.00994428390530416
5,3,hbo,choice_agreeable,0.00640688284463684
5,3,hbo,choice_neutral,-0.0904478557628314
5,3,hbr,open_agreeable,0.0183896016260727
5,3,hbr,open_neutral,0.0142598934499284
5,3,hbr,choice_agreeable,0.00674859178994167
5,3,hbr,choice_neutral,-0.068593112858835
5,4,hbo,open_agreeable,0.00185526779936743
5,4,hbo,open_neutral,-0.0181627550115776
5,4,hbo,choice_agreeable,-0.0519711271707751
5,4,hbo,choice_neutral,-0.0718868364339523
5,4,hbr,open_agreeable,0.0202570181312585
5,4,hbr,open_neutral,-0.00365215572000811
5,4,hbr,choice_agreeable,0.0474405354056776
5,4,hbr,choice_neutral,-0.0754924818917747
5,6,hbo,open_agreeable,-0.0197137257963144
5,6,hbo,open_neutral,-0.0286924935517218
5,6,hbo,choice_agreeable,0.00513326848191876
5,6,hbo,choice_neutral,-0.0350921887431183
5,6,hbr,open_agreeable,-0.0404234597823347
5,6,hbr,open_neutral,0.0362836590259178
5,6,hbr,choice_agreeable,0.0142237336305052
5,6,hbr,choice_neutral,-0.0287249052145694
6,4,hbo,open_agreeable,-0.0291508267175875
6,4,hbo,open_neutral,-0.0414957028333612
6,4,hbo,choice_agreeable,-0.0745169365707195
6,4,hbo,choice_neutral,-0.0474281138549134
6,4,hbr,open_agreeable,0.0083641828073956
6,4,hbr,open_neutral,0.00433274894447189
6,4,hbr,choice_agreeable,-0.0322709861796106
6,4,hbr,choice_neutral,-0.00166102915065223
6,6,hbo,open_agreeable,-0.0245025332729977
6,6,hbo,open_neutral,-0.0430790901988691
6,6,hbo,choice_agreeable,-0.0623360203495313
6,6,hbo,choice_neutral,-0.0342690354938281
6,6,hbr,open_agreeable,0.0407650445581114
6,6,hbr,open_neutral,0.0231014431510507
6,6,hbr,choice_agreeable,0.0143600153927962
6,6,hbr,choice_neutral,0.0159104156376977
6,7,hbo,open_agreeable,-0.0376878019964965
6,7,hbo,open_neutral,0.00875322982561663
6,7,hbo,choice_agreeable,-0.0715665572260746
6,7,hbo,choice_neutral,0.063988161907459
6,7,hbr,open_agreeable,0.00938424326628413
6,7,hbr,open_neutral,0.00323934527201958
6,7,hbr,choice_agreeable,-0.0215298096828535
6,7,hbr,choice_neutral,-0.00465493674267273
7,5,hbo,open_agreeable,0.0160147901276473
7,5,hbo,open_neutral,0.0125450647970193
7,5,hbo,choice_agreeable,-0.0347010046021517
7,5,hbo,choice_neutral,0.00918451598190788
7,5,hbr,open_agreeable,-0.0489549895533872
7,5,hbr,open_neutral,0.0192935516491147
7,5,hbr,choice_agreeable,0.0156260763027647
7,5,hbr,choice_neutral,0.0167163004905974
7,7,hbo,open_agreeable,0.0320761027084683
7,7,hbo,open_neutral,-0.00739299877786806
7,7,hbo,choice_agreeable,-0.0736610607777798
7,7,hbo,choice_neutral,-0.00307278081742122
7,7,hbr,open_agreeable,0.0481092178450085
7,7,hbr,open_neutral,0.00211025719868063
7,7,hbr,choice_agreeable,-0.0111207928462968
7,7,hbr,choice_neutral,-0.0189749470363214
8,6,hbo,open_agreeable,0.0127944486967999
8,6,hbo,open_neutral,-0.0280307617493765
8,6,hbo,choice_agreeable,-0.0267402596205065
8,6,hbo,choice_neutral,-0.0240969414591713
8,6,hbr,open_agreeable,0.0811165996867577
8,6,hbr,open_neutral,0.0184634245745069
8,6,hbr,choice_agreeable,-0.0308334611267109
8,6,hbr,choice_neutral,-0.0410778669483077
8,7,hbo,open_agreeable,0.0104326450091624
8,7,hbo,open_neutral,-0.00680256943945354
8,7,hbo,choice_agreeable,-0.02824571899336
8,7,hbo,choice_neutral,0.0256179296149798
8,7,hbr,open_agreeable,-0.00376796095044289
8,7,hbr,open_neutral,0.0529235175717221
8,7,hbr,choice_agreeable,0.0545958357829897
8,7,hbr,choice_neutral,-0.028227562146444
