ch_name,Condition,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,group
S2_D1 hbo,Concern,-9.040275076644065,3.287292042481132e-07,-2.7500675205664975,0.00595829857912875,-1.5483249086572199e-06,-2.59730106671593e-07,hbo,True,all_groups
S2_D1 hbo,Neutral,-8.999443092339105,3.287292042481133e-07,-2.737646359386628,0.00618805782587104,-1.5442417102267241e-06,-2.5564690824109697e-07,hbo,True,all_groups
S3_D4 hbo,Concern,8.463504064185953,3.287292042481132e-07,2.5746127678385395,0.010035236758739534,2.020530054257819e-07,1.4906478074114086e-06,hbo,True,all_groups
S3_D4 hbo,Neutral,11.235464054302637,3.2872920424811334e-07,3.417847854437204,0.0006311837981298132,4.792490044374501e-07,1.7678438064230774e-06,hbo,True,all_groups
S4_D4 hbo,Concern,7.749630228225031,3.287292042481132e-07,2.3574510959409265,0.018400878831765846,1.3066562182968972e-07,1.4192604238153165e-06,hbo,True,all_groups
S4_D4 hbo,Neutral,10.344699633890237,3.287292042481133e-07,3.146875756764957,0.0016502506800410396,3.9017256239621e-07,1.678767364381837e-06,hbo,True,all_groups
S5_D4 hbo,Concern,16.47227192000661,3.2872920424811324e-07,5.010893984208934,5.417775699235919e-07,1.0029297910078473e-06,2.291524592993474e-06,hbo,True,all_groups
S5_D4 hbo,Neutral,15.662489868350681,3.287292042481133e-07,4.764556865026566,1.892691367977435e-06,9.219515858422546e-07,2.2105463878278816e-06,hbo,True,all_groups
S5_D6 hbo,Concern,7.118385991892693,3.287292042481133e-07,2.1654254930511088,0.030355115514562627,6.754119819645578e-08,1.356136000182083e-06,hbo,True,all_groups
S6_D4 hbo,Neutral,12.27729372549089,3.287292042481133e-07,3.7347742661234378,0.0001878836356651827,5.834319715562755e-07,1.8720267735419025e-06,hbo,True,all_groups
S6_D6 hbo,Neutral,7.802244112708997,3.287292042481133e-07,2.373456331801946,0.017622476716495743,1.3592701027808608e-07,1.4245218122637131e-06,hbo,True,all_groups
S8_D6 hbo,Neutral,8.647140166317635,3.287292042481132e-07,2.6304751919123928,0.00852655924795455,2.2041661563895027e-07,1.509011417624577e-06,hbo,True,all_groups
S2_D1 hbr,Concern,4.061532988514239,1.5808428733736635e-07,2.5692199123158623,0.010192775109613028,9.631378914850449e-08,7.159928085543434e-07,hbr,True,all_groups
S3_D4 hbr,Concern,-3.4967547407380524,1.5808428733736638e-07,-2.211955912655416,0.026969711326826556,-6.595149837767248e-07,-3.983596437088575e-08,hbr,True,all_groups
S3_D4 hbr,Neutral,-4.615034060713358,1.5808428733736638e-07,-2.919350264624625,0.0035076185904365717,-7.713429157742553e-07,-1.516638963684163e-07,hbr,True,all_groups
S4_D4 hbr,Neutral,-4.535291072114402,1.580842873373664e-07,-2.868906928387939,0.0041189298156780255,-7.633686169143598e-07,-1.4368959750852068e-07,hbr,True,all_groups
S5_D4 hbr,Concern,-5.084527344953813,1.5808428733736638e-07,-3.216339479775725,0.0012983714492924218,-8.182922441983007e-07,-1.9861322479246174e-07,hbr,True,all_groups
S5_D4 hbr,Neutral,-4.959755508806837,1.5808428733736638e-07,-3.137412068172382,0.0017044639155489223,-8.058150605836031e-07,-1.861360411777642e-07,hbr,True,all_groups
S6_D4 hbr,Neutral,-4.07423467754397,1.580842873373664e-07,-2.5772546697504346,0.009958854734599294,-7.172629774573166e-07,-9.758395805147749e-08,hbr,True,all_groups
S8_D6 hbr,Concern,-4.434120394373356,1.5808428733736643e-07,-2.8049089944723824,0.005033078810325072,-7.532515491402553e-07,-1.3357252973441607e-07,hbr,True,all_groups
S8_D6 hbr,Neutral,-9.642106821571126,1.580842873373664e-07,-6.0993454719468625,1.065036631027542e-09,-1.274050191860032e-06,-6.54371172454193e-07,hbr,True,all_groups
