,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,ch_name
ch_name[S1_D1 hbr]:Chroma[hbr],4.2797849972783073e-08,1.741801839565898e-07,0.24571021226759873,0.8059065662688829,-2.9858903740269437e-07,3.841847373482605e-07,hbr,False,S1_D1 hbr
ch_name[S1_D2 hbr]:Chroma[hbr],-9.118209133004046e-08,1.7418018395658971e-07,-0.52349290980635,0.6006312837814588,-4.3256897870551774e-07,2.502047960454368e-07,hbr,False,S1_D2 hbr
ch_name[S2_D1 hbr]:Chroma[hbr],-1.0317614595723633e-07,1.7418018395658974e-07,-0.5923529509128922,0.5536142650085139,-4.4456303333271364e-07,2.38210741418241e-07,hbr,False,S2_D1 hbr
ch_name[S2_D3 hbr]:Chroma[hbr],-1.2238605626280848e-07,1.741801839565898e-07,-0.7026405270837827,0.48227979949295285,-4.637729436382859e-07,2.1900083111266895e-07,hbr,False,S2_D3 hbr
ch_name[S3_D3 hbr]:Chroma[hbr],1.4149504499480387e-07,1.7418018395658977e-07,0.8123486942123572,0.4165915768758447,-1.998918423806735e-07,4.828819323702813e-07,hbr,False,S3_D3 hbr
ch_name[S3_D4 hbr]:Chroma[hbr],-5.057066073179146e-08,1.7418018395658971e-07,-0.2903353273779697,0.7715597148639929,-3.9195754810726875e-07,2.908162266436858e-07,hbr,False,S3_D4 hbr
ch_name[S4_D2 hbr]:Chroma[hbr],-3.4445370551969324e-07,1.7418018395658971e-07,-1.9775711432566874,0.04797710733173886,-6.858405928951705e-07,-3.0668181442159737e-09,hbr,True,S4_D2 hbr
ch_name[S4_D4 hbr]:Chroma[hbr],5.488006877128149e-07,1.741801839565897e-07,3.1507641985818005,0.0016284390256273741,2.0741380033733764e-07,8.901875750882921e-07,hbr,True,S4_D4 hbr
ch_name[S4_D5 hbr]:Chroma[hbr],1.601801795880403e-07,1.7418018395658971e-07,0.9196234379219705,0.3577695743392716,-1.8120670778743696e-07,5.015670669635175e-07,hbr,False,S4_D5 hbr
ch_name[S5_D3 hbr]:Chroma[hbr],-1.9913590443788378e-07,1.7418018395658974e-07,-1.1432753136115281,0.25292430122196563,-5.405227918133611e-07,1.4225098293759354e-07,hbr,False,S5_D3 hbr
ch_name[S5_D4 hbr]:Chroma[hbr],-1.0819686826852661e-07,1.7418018395658971e-07,-0.6211778275276831,0.5344826263220469,-4.4958375564400386e-07,2.3319001910695067e-07,hbr,False,S5_D4 hbr
ch_name[S5_D6 hbr]:Chroma[hbr],-3.466300356393302e-07,1.7418018395658971e-07,-1.9900658488552263,0.046583682210335334,-6.880169230148075e-07,-5.2431482638529305e-09,hbr,True,S5_D6 hbr
ch_name[S6_D4 hbr]:Chroma[hbr],1.4076641143739629e-07,1.7418018395658971e-07,0.8081654769206065,0.41899532866455613,-2.0062047593808098e-07,4.821532988128736e-07,hbr,False,S6_D4 hbr
ch_name[S6_D6 hbr]:Chroma[hbr],3.219097945773745e-09,1.7418018395658971e-07,0.018481424652623108,0.9852547960156339,-3.381677894297035e-07,3.44605985321251e-07,hbr,False,S6_D6 hbr
ch_name[S7_D5 hbr]:Chroma[hbr],-6.207586287455205e-08,1.7418018395658971e-07,-0.35638877778440625,0.7215494324297598,-4.034627502500293e-07,2.793110245009252e-07,hbr,False,S7_D5 hbr
ch_name[S7_D7 hbr]:Chroma[hbr],2.1360108985079582e-07,1.7418018395658971e-07,1.2263225643626077,0.2200773133005799,-1.2778579752468144e-07,5.549879772262731e-07,hbr,False,S7_D7 hbr
ch_name[S8_D6 hbr]:Chroma[hbr],4.6079089924891706e-07,1.7418018395658971e-07,2.6454840543959826,0.008157413159680832,1.194040118734398e-07,8.021777866243944e-07,hbr,True,S8_D6 hbr
ch_name[S8_D7 hbr]:Chroma[hbr],3.416638271487654e-08,1.7418018395658971e-07,0.19615539459638937,0.8444885397149005,-3.0722050466060073e-07,3.755532700903538e-07,hbr,False,S8_D7 hbr
