,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Chroma,Significant
ch_name[S1_D2 hbo]:Condition[oneBack]:Chroma[hbo],14.177064585612175,1.0009232275526434e-06,1.4163988001633756,0.15665877502784442,-5.440670187315529e-07,3.379479935853988e-06,S1_D2 hbo,oneBack,hbo,False
ch_name[S2_D1 hbo]:Condition[oneBack]:Chroma[hbo],14.9094571302336,1.0009232275526434e-06,1.4895705004956976,0.13633720332402746,-4.708277642694104e-07,3.4527191903161304e-06,S2_D1 hbo,oneBack,hbo,False
ch_name[S2_D3 hbo]:Condition[oneBack]:Chroma[hbo],1.3512753194141882,1.0009232275526432e-06,0.13500289355040654,0.892609586555127,-1.826645945351351e-06,2.096901009234189e-06,S2_D3 hbo,oneBack,hbo,False
ch_name[S3_D3 hbo]:Condition[oneBack]:Chroma[hbo],24.843917618739223,1.0009232275526432e-06,2.4821002185637226,0.01306105355427422,5.226182845811524e-07,4.446165239166692e-06,S3_D3 hbo,oneBack,hbo,True
ch_name[S3_D4 hbo]:Condition[oneBack]:Chroma[hbo],8.526335034661495,1.0009232275526432e-06,0.8518470547945252,0.39429898589337675,-1.1091399738266205e-06,2.8144069807589195e-06,S3_D4 hbo,oneBack,hbo,False
ch_name[S4_D2 hbo]:Condition[oneBack]:Chroma[hbo],21.869902663787812,1.0009232275526434e-06,2.1849730390673314,0.028890823460102702,2.252167890860109e-07,4.148763743671552e-06,S4_D2 hbo,oneBack,hbo,True
ch_name[S4_D4 hbo]:Condition[oneBack]:Chroma[hbo],5.496679618082799,1.0009232275526434e-06,0.5491609612779919,0.5828949926624626,-1.4121055154844906e-06,2.5114414391010505e-06,S4_D4 hbo,oneBack,hbo,False
ch_name[S4_D5 hbo]:Condition[oneBack]:Chroma[hbo],9.15598090443627,1.0009232275526434e-06,0.914753564748772,0.3603210171601564,-1.0461753868491434e-06,2.8773715677363974e-06,S4_D5 hbo,oneBack,hbo,False
ch_name[S5_D3 hbo]:Condition[oneBack]:Chroma[hbo],19.064450705266694,1.0009232275526434e-06,1.9046866113679035,0.05682082040548409,-5.5328406766101114e-08,3.86821854781944e-06,S5_D3 hbo,oneBack,hbo,False
ch_name[S5_D4 hbo]:Condition[oneBack]:Chroma[hbo],37.537287877201315,1.0009232275526434e-06,3.7502664384144335,0.00017664677416810598,1.791955310427361e-06,5.715502265012902e-06,S5_D4 hbo,oneBack,hbo,True
ch_name[S5_D6 hbo]:Condition[oneBack]:Chroma[hbo],-1.151137812113907,1.0009232275526434e-06,-0.11500760302351591,0.9084390956932422,-2.076887258504161e-06,1.8466596960813797e-06,S5_D6 hbo,oneBack,hbo,False
ch_name[S6_D4 hbo]:Condition[oneBack]:Chroma[hbo],-7.015337637378669,1.0009232275526436e-06,-0.70088668583822,0.4833737340502373,-2.663307241030638e-06,1.260239713554904e-06,S6_D4 hbo,oneBack,hbo,False
ch_name[S6_D6 hbo]:Condition[oneBack]:Chroma[hbo],-0.18547699061330045,1.0009232275526436e-06,-0.018530591109051395,0.9852155735760195,-1.980321176354101e-06,1.9432257782314407e-06,S6_D6 hbo,oneBack,hbo,False
ch_name[S7_D5 hbo]:Condition[oneBack]:Chroma[hbo],25.845775006661274,1.0009232275526432e-06,2.5821935484359537,0.009817450916817875,6.228040233733574e-07,4.546350977958897e-06,S7_D5 hbo,oneBack,hbo,True
ch_name[S7_D7 hbo]:Condition[oneBack]:Chroma[hbo],22.116706892558224,1.0009232275526436e-06,2.209630697314894,0.027130803054164907,2.4989721196305155e-07,4.173444166548594e-06,S7_D7 hbo,oneBack,hbo,True
ch_name[S8_D6 hbo]:Condition[oneBack]:Chroma[hbo],7.921199767894921,1.000923227552643e-06,0.7913893443419275,0.4287168261096297,-1.1696535005032776e-06,2.7538934540822615e-06,S8_D6 hbo,oneBack,hbo,False
ch_name[S8_D7 hbo]:Condition[oneBack]:Chroma[hbo],18.631934762724292,1.0009232275526434e-06,1.8614749113457207,0.06267714038571173,-9.858000102034105e-08,3.824966953565199e-06,S8_D7 hbo,oneBack,hbo,False
